Code;Condition;Sexe;Age;Haut_visage;Bas_visage;Clignements;Yeux;Tete;Buste;Bras;Mains;Jambes;Pieds;Self_Adaptators;Pas_P1_P2;Temps_P1_P2;Vitesse_P1_P2;Haut_visage2;Bas_visage2;Clignements2;Yeux2;Tete2;Buste2;Bras2;Mains2;Jambes2;Pieds2;Self_Adaptators2;Pas_P2_Cible;Temps_P2_Cible;Vitesse_P2_Cible;EAFF_BES;Ecog_BES;CogSc_BES;ContSc_BES;DecoSc_BES;Total_BES;Machiavelisme_DDS;Psychopathie_DDS;Narcissisme_DDS;Total_DDS;QPM38;Centile;Excitation_ADCL
FA01;A;F;18;0.66;2;8.66;8.66;7.34;4;0;5.34;7.34;0.66;1.34;8.66;9;1.92;0;3.67;8;4;5.67;2.33;0;0.67;6;0;0;4.67;5;0.93;46;49;35;29;6;92;11;9;4;24;47.82024974;75;15
FA02;A;F;18;0;2;5.34;1.34;12.66;0.66;1.34;2;4;0;30.66;10;14;1.42;0;1.67;5.33;1;1.67;2;0.67;5.33;4.33;0;12;5;5.67;0.88;34;41;34;10;21;63;22;20;20;62;53.91141396;90;10
FA03;A;F;20;0.66;1.34;10;6;3.34;14;0.66;1.34;3.34;0;1.34;10;10;2;0.33;2.67;10.33;4;4.67;4;0;2;3;0;4;6;5.17;1.16;36;40;30;21;12;73;12;15;12;39;49.72095261;90;12
FA04;A;F;18;0;2.66;6.66;4;2.66;1.34;1.34;1.34;0;0;31.34;8.66;10;1.74;0;0;6;2.67;5.33;3;0.67;0.67;0.67;0;21;2.33;5;0.47;36;40;28;19;10;73;8;17;18;43;28.04685167;25;11
FA05;A;F;18;0;2.66;5.34;6;5.34;0;0;0;10;2.66;0.66;10.66;10;2.14;0;0;6.33;4.67;4;1.67;0;0;15.33;1.67;0.33;5.33;5;1.07;45;45;32;28;9;89;7;14;8;29;49.16970645;90;8
FA06;A;F;19;0;6.66;7.34;8;7.34;12;0;0;2;5.34;0;8.66;11.34;1.52;0.67;4.67;7.33;6.33;2.67;2;0.33;0.67;14;0;31;5;5.67;0.88;40;46;32;25;7;82;8;8;6;22;51.68454376;90;13
FA07;A;F;20.9166666666667;0;4.66;10;4;4.66;6;1.34;0.66;11.34;0;7.34;10;10;2;0;2;4.67;1.67;0.67;4.33;0.67;0.33;9.33;0;1.67;5.33;6;0.89;37;39;28;20;10;70;13;13;15;41;51.68454376;90;11
FA08;A;F;24;0;10.66;8.66;4;2.66;0.66;0;0;0;0;0;10;12;1.66;0;4;7.67;4.67;3.33;0;0;2;0;0;0;6;7;0.86;33;50;36;23;12;79;4;5;4;13;45.41963421;75;10
FA09;A;F;23;0.66;6.66;4.66;4.66;12;1.34;1.34;2;12.66;0.66;10.66;9.34;8;2.34;0;1.67;4.33;3.67;6;0.33;1.33;1.33;5;0;15.67;4.67;5;0.93;40;48;34;27;7;86;4;5;6;15;47.45795876;75;8
FA10;A;F;18;0;4.66;3.34;1.34;5.34;1.34;0.66;0.66;3.34;2;2;8.66;10;1.74;0;3.67;3.67;4;6.33;2;1;0.33;3.33;0.67;3.67;5.33;6;0.89;35;43;30;23;10;75;9;7;12;28;46.45516663;75;7
FT01;T;F;23;0.2;4.4;7;4.8;6.34;4.14;0.66;1.34;5.4;1.14;8.54;9.46;10.44;1.84;0;3;3;3;3;8.67;0.33;1.67;2.67;1.33;13.67;5.33;7;0.76;37;46;32;24;9;79;7;15;25;47;51.15854793;90;9
FT02;T;F;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.75;4.25;3.75;1.25;0;0;0;0;0;20.75;4;5.25;0.76;42;45;31;26;8;83;12;8;13;33;50.60355115;90;7
FT03;T;F;18;0;4.66;0.66;2.66;4;0;0;0.66;2;0;26;11.34;14;1.62;0;0.67;7.33;6.67;3.33;4.33;0.33;1;1.33;1.33;0;6;6;1;41;45;31;27;6;84;6;10;11;27;53.91141396;90;12
FT04;T;F;20;0;0.5;6.5;5;2.5;0.5;0;0.5;1;0;18;7;12;1.16;0;1;8.67;5.67;5.67;0;1.33;2;0.33;0;11.67;5.67;5.33;1.06;40;46;33;27;7;85;7;7;15;29;51.20627087;90;7
FT05;T;F;20;0;2;8.66;6.66;8;4;0;1.34;1.34;1.34;0;11.34;10.66;2.12;0.33;2.67;10;6;3.67;9.67;1.33;1.33;6;0;3.67;6;5;1.2;43;42;30;26;6;84;5;10;14;29;51.68454376;90;6
FT06;T;F;22;0;2.66;8.66;7.34;12.66;1.34;4;1.34;2;0.66;18.66;11.34;11.34;2;0;4;5.33;1.67;2;1;1;1.67;1;0;2.67;6.33;6.33;1;40;49;35;20;14;79;9;8;14;31;49.72095261;90;8
FT07;T;F;20;0;0.66;15.34;14.66;8;16.66;2.66;3.34;12;10;2;10.66;10.34;2.06;0;1.67;5.33;2.67;2.33;2.33;0;0.33;2.67;0.33;7.67;5.33;4.33;1.23;38;41;28;23;11;74;12;5;12;29;43.62101843;50;7
FT08;T;F;21;0;1.34;4;2.66;2;0.66;2;2;4;0;8;12;9.66;2.48;0;3.33;8;7;5;7.33;0.33;2;3.67;0;10;5.67;5.67;1;44;46;32;24;6;86;17;9;4;30;52.13501456;90;10
FT09;T;F;23;0;5.34;6.66;6.66;3.34;2.66;1.34;1.34;1.34;2.66;3.34;8.66;10.34;1.68;0;0;2.33;1;0.33;2.33;0;0.67;2.33;0.33;4.33;6.67;5;1.33;37;47;33;23;8;82;10;10;13;33;48.56828661;75;11
MA01;A;M;22;0;1.34;10;14.66;10;7.34;0.66;1.34;0;0;19.34;10.66;10;2.14;0;0.33;6.33;6.67;1.67;2;0.33;0.67;0.67;0;2.33;5.67;5.33;1.06;40;46;32;16;17;75;11;14;12;37;51.68454376;90;7
MA02;A;M;22;0;6;2;2;0;4.66;1.34;0;9.34;7.34;1.34;10;9;2.22;0.33;0.67;5.33;6.67;2.67;0;0;0;0.33;0;0.67;5.67;5.33;1.06;38;41;29;16;7;74;5;17;12;34;52.13501456;90;9
MA03;A;M;21;0;2.72;6.94;6.92;5.62;4.2;1.34;1.32;3.66;2.44;10.74;10.34;10.82;1.94;0;1;3;3.5;2.5;0.5;0;0;19;0;0;4;6;0.67;37;43;31;14;12;71;10;11;17;38;53.91141396;90;9
MA04;A;M;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.33;10.67;6.67;0;0;0;12.33;0;0;2.67;4.83;0.55;37;34;24;19;11;66;7;8;8;23;53.91141396;90;6
MA06;A;M;22;2.66;1.34;10;13.34;5.34;0;0.66;0.66;0;0;0.66;9.34;8.66;2.16;0;0.5;4.5;5;4.5;1;0;2;7;1.5;2;4.5;5.25;0.86;39;46;32;20;9;79;7;5;10;22;53.91141396;90;8
MA07;A;M;23;1;0;10;7;9;0;0;0;13;0;0;8;9;1.78;1.33;4.33;11.67;15.33;3.33;2.33;0;0;6.33;0.33;0;5.33;5;1.07;37;40;27;21;9;73;15;7;15;37;53.91141396;90;7
MA08;A;M;18;0;1.34;4.66;5.34;3.34;0;0;0;17.34;0;2;10.66;10.66;2;0;0;6.33;6.67;5.33;1.33;0.67;2;17;0;0.33;7;6.17;1.13;31;27;23;10;15;50;7;13;19;39;53.91141396;90;6
MA09;A;M;21;0;2;8;16;26;1;0;0;5;2;6;10;13;1.54;0;3;9;4.33;4;0;0;0.33;4;0;0.33;6;6;1;38;48;34;24;8;82;11;11;21;43;52.13501456;90;7
MT02;T;M;27;0;3;11;9;10;4;0;0;7;1;4;7;10;1.4;0;0.33;4.67;5.33;2;0;0.33;3;1.33;0;2.67;5.67;5.67;1;41;46;32;26;7;83;4;8;11;23;51.92002855;90;13
MT03;T;M;19;0;7.34;6.66;12;6.66;2;0;0;8;5.34;0;11.34;9.66;2.34;0;0;7;3;3.67;2.33;0;0;1;1.67;1.33;5.33;5;1.07;42;40;28;23;9;76;17;12;23;52;51.68454376;90;11
MT04;T;M;22;0.66;0.66;8.66;10.66;4.66;0;4.66;6;24;0;1.34;11.34;10;2.26;0;3;15.67;7;5.33;0;0.67;0.33;5.67;0;3;5.67;5.33;1.06;41;41;31;27;6;82;11;6;16;33;51.20627087;90;9
MT05;T;M;21;0;2;8.66;6;8.66;6.66;0.66;0;8.66;2.66;2.66;10;10.66;1.88;0;0.67;9.67;3.33;1.33;0.33;0;3;1.33;0;1.67;6;6.67;0.9;37;43;33;24;18;71;13;20;23;56;19.47529352;5;9
MT06;T;M;27;0.48;1.96;8.18;9.7;8.48;2.04;0.66;1.12;9.38;1.22;2.14;10.12;10.34;1.96;0.33;5.33;5.33;9.67;7;9.33;0;7;1.33;0.67;6;6;5.67;1.06;46;46;32;22;7;87;4;18;4;26;38.27340446;50;8
MT07;T;M;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.67;3.33;3.33;3.67;1.33;0.67;0;4;0;22.33;5.33;5.67;0.94;38;47;33;23;13;79;6;6;12;24;51.68454376;90;10
MT08;T;M;18;0;1.34;6.66;7.34;7.34;0;0;2.66;0;0;0.66;11.34;10.34;2.2;0;0.67;7.67;8;6;0;0;0.33;0.33;0;0.67;5.67;5.83;0.97;44;48;36;19;16;81;20;14;6;40;53.91141396;90;6
